type,detail,comment,raw_code,label
Nested blocks of code should not be left empty,Either remove or fill this block of code.,Report a message to the client - may be the DB connection failed ?,            } catch (Exception ex) {,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,How difficult would it be?,    // TODO: support case sensitive flags,0
Raw types should not be used,Provide the parametrized type for this generic.,why the variable? ,    Stream<HoodieColumnRangeMetadata<Comparable>> stream = columnToStatsListMap.values(),0
Unnecessary imports should be removed,Remove this unused import 'java.io.IOException'.,remove this?,import java.io.IOException;,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Unable to patch Guava classes: {}"" 3 times.",These calls can be wrapped in a small static function,"      logger.warn(""Unable to patch Guava classes: {}"", e.getMessage());",0
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,"I notice that this method is marked as deprecated. Is there any need to modify this method? It may be removed in the future,WDYT","    public void send(final Message msg, final SendCallback sendCallback, final long timeout)",1
Field names should comply with a naming convention,"Rename this field ""_jsonStringLength"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",make it final?,  private int _jsonStringLength = 0;,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"nit: these are new features and we already mentioned these in the top class javadoc, can we remove the TODOs?",    // TODO add back column encryption keys,1
"Track uses of ""FIXME"" tags",Take the required action to fix the issue indicated by this comment.,How to fix this issue?,        // FIXME: 2018/3/2 ,1
Unused local variables should be removed,"Remove this unused ""time"" local variable.",`time` + `FILE_LOCK_TIMEOUT_MS` is no longer used and can be removed.,            long time = 0;,1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""0.8.0"" 18 times.","I have an idea, wdyt about setting the `metatable`'s subpath as the default path?","      .sinceVersion(""0.8.0"")",0
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".",I'd remove this class from the SPI.,public abstract class DefaultGradleActionsProvider implements GradleActionsProvider {,0
Return values should not be ignored when they contain the operation status code,"Do something with the ""boolean"" value returned by ""delete"".",You could use `TsFileResource.remove()` which also clean the modification file.,      new File(deletedTsFileResource.getFile().getAbsolutePath() + TsFileResource.RESOURCE_SUFFIX),0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,why is this class needed in `hudi-common`?  markers are strictly used by writing correct,public class MarkerUtils {,0
"""public static"" fields should be constant","Make this ""public static PAGE_LENGTH_DIGIT"" field final",not used,  public static int PAGE_LENGTH_DIGIT = 14;,0
"""InterruptedException"" should not be ignored","Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here.","Why sleeping here ?
",        Thread.sleep(1000);,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,Is there a way to handle the Parquet case? Just wondering what happens if someone tries to write UUID data with parquet,"        // TODO: This will not work with Parquet. Parquet UUID expect byte[], others are expecting UUID",0
Static non-final field names should comply with a naming convention,"Rename this field ""READ_PROPERTIES_TO_REMOVE"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","Is this required because of Pig?  If yes, then should this have been fixed in Pig module rather than here?",  private static Collection<String> READ_PROPERTIES_TO_REMOVE = Sets.newHashSet(,0
Nested code blocks should not be used,Extract this nested code block into a method.,Remove this pair of  parentheses,      {,1
Methods should not be empty,"Add a nested comment explaining why this method is empty, throw an UnsupportedOperationException or complete the implementation.",nit: would be better to name the two as preVisitField(...)  & postVisitField(...) ? ,    public void beforeField(Types.NestedField field) {,0
Empty arrays and collections should be returned instead of null,Return an empty collection instead of null.,"Never return `null`! You can use `Collections.emptyList()`.BTW, why not return true `prefixPaths` for `CreateMultiTimeSeriesPlan` ?",    return null;,1
"Unused ""private"" fields should be removed","Remove this unused ""PROP_DIMENSIONS"" private field.",Where it is used?,"  private static final String PROP_DIMENSIONS = ""dimensions"";",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Hi, according to previous design, `checkBufferedArray` is to be done by `ArrayManager` module.

When TSP is asking for one array, it could call `ArrayManager.getDataListByType` (and it is the only interface for asking array). This method will check whether there are enough buffered arrays and return one if true; or apply an out of buffer array and return one if system module agrees; or return null if system module refuses to offer one.

In this way, TSP does not need to know whether the array is buffered or out of buffer. The management of arrays is responsibility of `ArrayManager`. What do you think?",      // TODO: isbufferedArrayEnough = checkBufferedArray();,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""segments"" 6 times.",can you pick a better name,"  RETRY_EXCEEDED_FAILURES(""segments"", false),",0
Local variables should not shadow class fields,"Rename ""writeStatus"" which hides the field declared at line 60.","If you re going to rely on a constructor being called via Reflection, then making `WriteStatus` an interface is not a necessary thing.. Atleast in the subclassing route, you will be forcing the subclass to implement atleast 1 constructor of the same signature as base class

Was this part of @prazanna 's suggestion earlier on?  (given then comment history is nt there now) ",        WriteStatus writeStatus = ReflectionUtils.loadClass(config.getWriteStatusClassName());,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,minor: revert this change?,    } catch (RuntimeException | HiveException | MetaException e) { //TODO-jsbali FIx this,0
Class variable fields should not have public accessibility,Make PATTERN a static final constant or non-public and provide accessors if needed.,Default should be the pattern in the document.,"        public static String PATTERN = """";",0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,It's better to point out the specific version number in method name such `recoverCrossCompactionBelow013` and add comments for the method.,  private void recoverCrossCompactionFromOldVersion() throws Exception {,0
Nested blocks of code should not be left empty,Either remove or fill this block of code.,        } catch (Exception e) {,"        } catch (InterruptedException ignored) {
CatchClause         } catch (ExecutionException e) {",0
Null pointers should not be dereferenced,"A ""NullPointerException"" could be thrown; ""anomalyFunction"" is nullable here.",should you check anomalyFunction == null here first? Also this treatment of different function ids together feels very arbitrary. ,        if (!anomalyFunction.getIsActive()) {,1
Methods should not have too many parameters,"Method has 8 parameters, which is greater than 7 authorized.","Too much `xxxAvailable` parameter. How about merge them into a struct, maybe like `predicates`?","    public List<Long> seqChooseBackendIdsByStorageMediumAndTag(int backendNum, boolean scheduleAvailable,",1
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""%s file  is not data"" 5 times.","what is file is not data, is it right sematic?","            throw new AclException(String.format(""%s file  is not data"", fileHome + File.separator + fileName));",0
Local variable and method parameter names should comply with a naming convention,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,        Set<Integer> transformSlotIds = Sets.newHashSet();,        Set<Integer> transform_slot_ids = Sets.newHashSet();,1
Restricted Identifiers should not be used as Identifiers,Rename this variable to not match a restricted identifier.,same thing here.. would anyone override this? ,  protected GenericRecord rewriteRecord(GenericRecord record) {,0
Loops should not be infinite,Add an end condition to this loop.,you probably need something like while (!shuttingDown). See previous comment of adding a call from HelixBrokerStarter,            while(true) {,1
Methods should not have too many parameters,"Method has 11 parameters, which is greater than 7 authorized.",Please add the function annotation  ~,"    private void initAllStructure(Expr conjunct,",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Error happened while getting {} size"" 6 times.",?,"      logger.error(""Error happened while getting {} size"", filePath);",0
Throwable and Error should not be caught,Catch Exception instead of Throwable.,`OverlappingFileLockException` still needs to be retried.,"            } catch (Throwable e) {
CatchClause                 if (e instanceof OverlappingFileLockException) {
CatchClause                     logger.info(""Failed to save registry cache file for file overlapping lock exception, file name "" + file.getName());
CatchClause                 } else {
CatchClause                     throw e;
CatchClause                 }
CatchClause             }",1
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"Can you throw `IOException` here and let the caller to decide what to do?
",      throw new RuntimeException(e);,0
Field names should comply with a naming convention,"Rename this field ""_dictId"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","(minor)
Move this after the final variables for readability",  private int _dictId;,0
Names of regular expressions named groups should be used,Directly use 'collection' instead of its group number.,"Could you put a benchmark test case about this REGEX? And put a result in comment? In our experiences, REGEX is powerful, but cause performance issues in many scenarios.","    private static final Pattern URL_REGEX = Pattern.compile(""(?<pref>http(s)?://)*(?<domain>[\\w_.\\-\\d]+(:\\d+)?)?/(?<path>solr/(?<collection>[\\w_]+))?(/.*)?"");",0
Local variables should not be declared and then immediately returned or thrown,"Immediately return this expression instead of assigning it to the temporary variable ""segmentFetcher"".",We could probably just return _segmentFetcherMap.get(protocol).,    SegmentFetcher segmentFetcher = _segmentFetcherMap.get(protocol);,1
"""public static"" fields should be constant","Make this ""public static cbo_statistics_task_timeout"" field final",nit: add unit in config name,    public static int cbo_statistics_task_timeout = 60;,0
Unused method parameters should be removed,"Remove this unused method parameter ""job"".","Javadoc. This is the schema used for comparison, but that is not entirely clear.
","  private Schema getKeySchema(Job job, Schema newestSchema) throws IOException {",0
Restricted Identifiers should not be used as Identifiers,Rename this variable to not match a restricted identifier.,"can we try to re-use code across merge handle and this. lines 119 to 133. If incase we need to make some fix in merge handle, we might miss to fix it here. ",        HoodieRecord<T> record = recordItr.next();,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,What about allowing the projection if the the fields are primitives or if the entire struct is projected? That would cover the cases that are currently supported and avoid introducing a new pruning bug to replace the one you're fixing (where nested structs don't match the requested struct schema).,              // TODO Figure this out,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,Make it clear TODO what.,      PathFilter pathFilter = new GlobFilter(filter.toString()); // TODO,1
Field names should comply with a naming convention,"Rename this field ""_tableName"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Remove TODO,  private String _tableName;,0
"""java.nio.Files#delete"" should be preferred","Use ""java.nio.file.Files#delete"" here for better messages on error conditions.","Could we use `FileUtils.deleteQuietly`, also is the `exists` check needed? I take it that the `exists()` check is needed in case the delete failed to delete existing directory?",    _resourceTmpDir.delete();,1
Parentheses should be removed from a single lambda input parameter when its type is inferred,"Remove the parentheses around the ""error"" parameter (sonar.java.source not set. Assuming 8 or greater.)","minor stuff

          asyncClusteringService.get().start(error -> true);",          asyncClusteringService.get().start((error) -> true);,1
Class variable fields should not have public accessibility,Make INJECTION_TAGS a static final constant or non-public and provide accessors if needed.,"        /**
         * Tag the span by the key/value in the correlation context, when the keys listed here exist.
         */
        public static String AUTO_TAG_KEYS = """";","        /**
FieldDeclaration          * Extract tags from the correlation.
FieldDeclaration          */
FieldDeclaration         public static String INJECTION_TAGS = """";",1
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,"Its not really relevant to this PR, but any reason why this line doesn't use `JobLauncherFactory`
",      System.err.println(je.toString());,0
Unnecessary imports should be removed,Remove this unused import 'lombok.AllArgsConstructor'.,Is this used?,import lombok.AllArgsConstructor;,1
Class variable fields should not have public accessibility,Make DEFAULT_NONADDITIVE_BUCKET_SIZE a static final constant or non-public and provide accessors if needed.,"why can't we get this from collection schema -> timegranularity
",  public static int DEFAULT_NONADDITIVE_BUCKET_SIZE = 5;,0
"Parsing should be used to convert ""Strings"" to primitives","Use ""Boolean.parseBoolean"" for this string-to-boolean conversion.","This property should be documented in _arch.xml_ file as `group=""systemproperty""`.","    private static volatile boolean indexingEnabled = Boolean.valueOf(System.getProperty(""org.netbeans.modules.groovy.editor.api.indexingEnabled"", ""true""));",0
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".",java docs please. ,"public abstract class AbstractClusteringClient<T extends HoodieRecordPayload, I, K, O> implements Serializable {",0
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".",Modify the comment of this class,"public abstract class Policy implements Writable, GsonPostProcessable {",0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"Would be good to have some javadocs here
",public final class PathUtils {,0
Ternary operators should not be nested,Extract this nested ternary operation into an independent statement.,minor: can we reuse `expressionFieldPath` instead of obtaining `ref().name()` again? ,      caseSensitive ? struct.field(ref().name()) : struct.caseInsensitiveField(ref().name());,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,unused comments should be deleted then,//  private double forkedUnSeqListMeasurementSize = 0;,1
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,"I recommend adding some backoff sleep strategies for retry, such as a slight sleep of 100ms, otherwise the retry is likely to fail again. BTW, you can abstract the retry logic into one place, see [example](https://carlosbecker.com/posts/exponential-backoff-java8/). Of course, this work can be optimized later, so please add at least one TODO",  private static final int retryNum = 5;,0
Field names should comply with a naming convention,"Rename this field ""_rowsArray"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",(nit): should be final,  private JsonNode _rowsArray;,0
Double Brace Initialization should not be used,Use another way to initialize this instance.,Does this mean there is a logger per extension?,                    return new Logger() {{,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment., this method should not be deprecated :-),      // TODO: what happens to this method? below method is deprecated,0
Boxing and unboxing should not be immediately reversed,"Remove the boxing to ""Double"".",Same as above.,				return Double.valueOf(100 * (busytime) / (busytime + idletime)).doubleValue();,0
"""public static"" fields should be constant","Make this ""public static BEAN_NAME"" field final",Should it be change to `dubboConfigBeanInitializer`?,"    public static String BEAN_NAME = ""dubboConfigInitializer"";",0
Constant names should comply with a naming convention,Rename this constant name to match the regular expression '^[A-Z][A-Z0-9]*(_[A-Z0-9]+)*$'.,seems weird as they use different naming style...,  ApplyConfigNode,1
Unused assignments should be removed,"Remove this useless assignment to local variable ""!unknown!"".","OK, using a builder is a good idea from [evolution perspective](http://wiki.apidesign.org/wiki/Evolution). Builder pattern is easily extensible.",                    CompletionUtilities.CompletionItemBuilder builder = CompletionUtilities.newCompletionItemBuilder(name),0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Fix indention.,	OSStatus status2 = SecItemDelete((CFDictionaryRef) query);,0
Raw types should not be used,Provide the parametrized type for this generic.,      List<Integer> sortedArray = new ArrayList<>();,      List<Integer> sortedArray = new ArrayList();,1
Lambdas should be replaced with method references,Replace this lambda with a method reference. (sonar.java.source not set. Assuming 8 or greater.),`The number of currently rebalanced keys for the whole cache group`,"            () -> rebalanceFut.rebalancingReceivedKeys.get(), ""Number of already rebalanced keys."");",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""Senior Management"" 28 times.","    builder.field(""binary_field"", ""Senior Management"".getBytes());","    builder.field(""binary_filed"", ""Senior Management"".getBytes());",0
"Track uses of ""FIXME"" tags",Take the required action to fix the issue indicated by this comment.,"For BYTES, you need to store ByteArray in the Record. I think the current code stores byte[]",        comparable = (Comparable) keyColumn; // FIXME: is this the right way to get Comparable? will it work for BYTES?,0
Methods and field names should not be the same or differ only by capitalization,"Rename field ""count"" to prevent any misunderstanding/clash with field ""COUNT"" defined on line 34.","We have `getter`, why need `protected?",    protected long count;,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""title"" 3 times.",@lianjunwei please give a default `title` value.,"        final String title = Optional.ofNullable(docRoot.getJSONObject(""info"")).map(jsonObject -> jsonObject.getString(""title"")).orElse("""");",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""\"" doesn't correspond to any known time series"" 3 times.",It will be nicer if you can extract this kind of exception into a separate Exception class.,"                  ""Path: \"""" + path + ""\"" doesn't correspond to any known time series"");",0
Field names should comply with a naming convention,"Rename this field ""_mode"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","Consider making `_mode` default to `FULL` and `_hashFunction` default to `NONE`, which is the most common setup and these 2 fields cannot be `null`",  private Mode _mode;,0
Field names should comply with a naming convention,"Rename this field ""RAMSize"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",    private long ramSize;,    private long RAMSize;,1
Deprecated code should be removed,Do not forget to remove this deprecated code someday.,Shall we deprecate these methods?,"  public static List<DataFile> listPartition(SparkPartition partition, PartitionSpec spec,",1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Can you create an issue? The sequnce should be that we change the server first, and in the following release, remove the API",  // TODO: remove this API. Should not allow committing without metadata,1
Field names should comply with a naming convention,"Rename this field ""AbstractChunkReader"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",The first letter of the variable should be lowercase.,  private AbstractChunkReader AbstractChunkReader;,1
Local variable and method parameter names should comply with a naming convention,Rename this local variable to match the regular expression '^[a-z][a-zA-Z0-9]*$'.,Please add /** {@inheritDoc} */,            @Override public void apply(IgniteFuture<T> IgniteFuture) {,0
"Unused ""private"" fields should be removed","Remove this unused ""retryMaxCount"" private field.",So what is the meaning of these two variables (and the config items) in your implementation?,"  private final int retryMaxCount;
FieldDeclaration   private final int retryWaitTimeMs;",1
Raw types should not be used,Provide the parametrized type for this generic.,I think `LinkedList` is better choice for performance.,        List result = new ArrayList();,0
Unused method parameters should be removed,Remove these unused method parameters.,"I don't like our naming conventions with this ""number-suffix"" rule. What do you think about `doVisitLeaf` name?","    protected T visitLeafNode0(String key, Serializable val) {",0
Using publicly writable directories is security-sensitive,Make sure publicly writable directories are used safely here.,call cleanupDir() instead?,    File specStoreDir = new File(TEST_SPEC_STORE_DIR);,0
Standard outputs should not be used directly to log anything,Replace this use of System.out or System.err by a logger.,how about use log to replace system.out,"        System.out.println(""rule data removed: name = "" + ruleData.getName());",1
Nested blocks of code should not be left empty,Either remove or fill this block of code.,"IMO, print some exception message maybe a good choice.",        } catch (InterruptedException ignored) {,0
"""@Deprecated"" code should not be used","Remove this use of ""SCHEMA_CHANGE""; it is deprecated.","This is meaningless.
Because every time you set the state to `COMPACTION_TOO_SLOW`, you also set replica `isBad` to `true`.
I think we can only set replica's state to `COMPACTION_TOO_SLOW`, and change logic in `replica.isAlive()`.",            return this == NORMAL || this == SCHEMA_CHANGE || this == ALTER || this == COMPACTION_TOO_SLOW;,0
"""switch"" statements should have at least 3 ""case"" clauses","Replace this ""switch"" statement by ""if"" statements to increase readability.","Please consider K8sRetagType as an interface implementation. Then you could have `type.cover(param1, param2)` directly, rather than this switch case and throw an exception in the runtime.","        switch (type) {
SwitchEntry             case Pod2Service:
ReturnStmt                 return SampleFamily.build(this.context, K8sRetagOps.pod2Service(samples, newLabelName, existingLabelName));
SwitchEntry             default:
ThrowStmt                 throw new UnsupportedOperationException(
BinaryExpr                     ""Unsupported type: "" + type + "" in retagByK8sMeta() "" + this.toString());
MethodDeclaration         }
MethodDeclaration     }",0
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"can you help me understand, why do we have 2 keyGen factories? 
And I see sparkKeyGenFactory uses AvorKeyGenFactory to intialize keyGen and if its null, proceeds to initialize by its own. whats the case where avro key gen factory will not work, but spark key gen would work?  I could not find much diff between both key gen. may be I am missing something. ",public class HoodieSparkKeyGeneratorFactory {,0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table"" 7 times.","if repeating, declare a constant and re-use 
`SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table` 
","    Dataset<Row> beforeDelete = spark.sql(""SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table"");",1
Local variables should not shadow class fields,"Rename ""memSerializeTime"" which hides the field declared at line 64.",You should use class variable `memSerializeTime` rather than this local variable ,      long memSerializeTime = 0;,1
Throwable and Error should not be caught,Catch Exception instead of Throwable.,"Don't use catch, just try/finally, please.","        } catch (Throwable e){
ExpressionStmt             LOGGER.warn(""resttemplate plugin has error: "", e);",0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,minor: remove this comment,      //updateHiveSQLUsingHiveDriver(s);,1
Only static class initializers should be used,Move the contents of this initializer to a standard constructor or to field initializers.,"Creating a map per method could be too much overhead. Suggest keeping the old way but just add `BIG_DECIMAL` into the picture
    if (left == BIG_DECIMAL || right == BIG_DECIMAL) {
      return BIG_DECIMAL;
    }
    ...",    Set<FieldSpec.DataType> dataTypes = new HashSet<FieldSpec.DataType>() {{,0
Delivering code in production with debug features activated is security-sensitive,Make sure this debug feature is deactivated before delivering the code in production.,Use logger.,        e.printStackTrace();,1
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"Good catch, this is a bug. Can you directly fix it by changing it to `dictionary.readBytesValues(dictIds, length, _byteValuesSV);`","      // todo: In the line below, _intValuesSV is populated but not returned! This is most likely a bug.",0
"Unused ""private"" fields should be removed","Remove this unused ""enableContinuousCompaction"" private field.",remove the field as the field is never used in this file,  private final boolean enableContinuousCompaction = IoTDBDescriptor.getInstance().getConfig(),1
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Commented code,"            //statRepo.saveLocalPartitionStatistics(key, partStat);",1
String literals should not be duplicated,"Define a constant instead of duplicating this literal "". Record: "" 4 times.","Can you log data type here as well? or log the key as you do below, since that should include job ID and data type","          ""Could not create initial record for jobID: "" + jobId + "". Record: "" + entity, e);",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal "" sec reached. Aborting"" 4 times.",same here,"        throw new TimeoutException(""Timeout of "" + timeout + "" sec reached. Aborting"");",0
Methods and field names should not be the same or differ only by capitalization,"Rename field ""REGEX"" to prevent any misunderstanding/clash with field ""regex"" defined on line 36.","So, is this path filter only used to filter source datasets?
I can see that we specify the class using gobblin.dataset.path.filter.class . It could make sense to have the same ""gobblin.dataset"" prefix for this setting for consistency.

Also, it could be better to keep those config settings together, so that they would be easily discovered.

Usually, they land up in ConfigKeys class, but I can see that bunch of keys are defined in DatasetUtils. You can try to figure out if there is any reason to keep them there.","  public static final String REGEX = ""path.filter.regex"";",0
Static non-final field names should comply with a naming convention,"Rename this field ""rebalance_move_expire_after_access"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","If only valid for PartitionRebalancer, the name would better add a partition prefix.",    public static long rebalance_move_expire_after_access = 600; // 600s,0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,"maybe introduce the new key, update the docs, and deprecate the old one?",    // TODO: Rename the config key,1
Throwable and Error should not be caught,Catch Exception instead of Throwable.,"There is no problem in other places, that is, the catch is used here, and I see that the sofa test in the log will make an error. I suggest to solve the problem of the plug-in first and then merge the pr.",        } catch (Throwable e) {,0
Lambdas containing only one statement should not nest this statement in a block,Remove useless curly braces around statement (sonar.java.source not set. Assuming 8 or greater.),So the line above expect that there could be allredy pair gav : dependency in the result. In this case the dependency is not put again in the result but the children are recountned anyway. ,            dependency.getChildren().forEach((childDependency) -> {,0
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"I feel there is another choice of passing this information back: instead of throwing exception, we can return normally, but the returned message has the worker failure information. WDYT?","      throw new RuntimeException(String
StringLiteralExpr           .format(""There were %d workers failed to report task progress. Got partial progress info: %s"",
FieldAccessExpr               serviceResponse._failedResponseCount, subtaskProgressMap));",0
String literals should not be duplicated,"Define a constant instead of duplicating this literal ""SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table"" 7 times.",this might need some fixes. consider all error paths. ,"    assert spark.sql(""SELECT begin_lat, begin_lon, driver, end_lat, end_lon, fare, partitionpath, rider, ts, uuid FROM hudi_ro_table"").except(insertQueryDataIn).except(updateQueryDataIn).count() == 0;",0
Delivering code in production with debug features activated is security-sensitive,Make sure this debug feature is deactivated before delivering the code in production.,exceptions should not be ignored in unit test cases,            e.printStackTrace();,1
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,delete this.,"    //    if (statistics == null
ReturnStmt     //        || (statistics.getStartTime() == Long.MAX_VALUE
ReturnStmt     //            && statistics.getEndTime() == Long.MIN_VALUE)) {
ReturnStmt     //      return false;
ReturnStmt     //    }",1
Generic exceptions should never be thrown,Define and throw a dedicated exception instead of using a generic one.,"              throw new RuntimeException(""Caught exception while generating segment from file: "" + dataFiles.get(sequenceId), e);","              final String exceptionMessage = String.format(""%s. File: %s"", e.getMessage(), dataFiles.get(sequenceId));
ThrowStmt               throw new Exception(exceptionMessage, e);",1
"Constructors should not be used to instantiate ""String"", ""BigInteger"", ""BigDecimal"" and primitive-wrapper classes","Remove this ""Integer"" constructor","`Integer.valueOf(min)`, not `new Integer`. Same for other object allocations.",    _minValue = new Integer(min);,1
"Constructors of an ""abstract"" class should not be declared ""public""","Change the visibility of this constructor to ""protected"".",I feel we can just make it Spark free for now.. Multi-engine can be dealt with separately..? ,"public abstract class AbstractConfig<T> {
FieldDeclaration   protected Properties props;
ConstructorDeclaration   public AbstractConfig(Properties props) {
ExpressionStmt     this.props = props;
MethodDeclaration   }
MethodDeclaration   public abstract long getMaxMemoryAllowedForMerge(String maxMemoryFraction);
MethodDeclaration   public abstract T getWriteStatusStorageLevel();
MethodDeclaration   public abstract T getBloomIndexInputStorageLevel();",0
"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""",Make this final field static too.,What's up with this formatting,	private final int       ALBUM_MAX_SIZE						= 5000;,0
Field names should comply with a naming convention,"Rename this field ""_maxRid"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.","(nit) We usually use `_numDocs`. It is currently exclusive, which can possibly cause confusion",  private final long _maxRid;,0
Using hardcoded IP addresses is security-sensitive,Make sure using this hardcoded IP address is safe here.,can this port be dynamic?,"@LocalstackDockerProperties(services = {ServiceName.KINESIS}, portEdge = ""4591"", environmentVariableProvider = RealtimeKinesisIntegrationTest.HostnameEnvProvider.class, imageTag = ""0.13.0.10"")",0
"Unused ""private"" fields should be removed","Remove this unused ""retryTimes"" private field.","This field can be deleted

",        private int retryTimes = 0;,1
Field names should comply with a naming convention,"Rename this field ""_groupKeyForNullValue"" to match the regular expression '^[a-z][a-zA-Z0-9]*$'.",Do we need to handle the null group in the aggregation function? It will make aggregation function hard to implement. I think we should be able to identify and skip the null groups in the group-by executor,  private Integer _groupKeyForNullValue = null;,0
Collection.isEmpty() should be used to test for emptiness,Use isEmpty() to check whether the collection is empty or not.,"I think it's a little bit complicated. How about
    if (cache.size() != 0) {
      cache.remove(0);
    }
What's more, I think it's better not to split `RemoveObjectIfCacheIsFull` into two methods.","    if (cache.size() == 0) {
ReturnStmt       return;
ExpressionStmt     }
ExpressionStmt     String deviceId = cache.iterator().next();
ExpressionStmt     cache.remove(deviceId);",0
Child class methods named for parent class methods should be overrides,"Rename this method; there is a ""private"" method in the parent class with the same name.","I don't think synchronized is necessary based on how this class is used and the thread-safety of the parent class. Synchronization here doesn't buy us anything because it only guards the method itself, not the `inferCaller` check elsewhere (which isn't volatile, nor do I think it should be) so it would only prevent additional concurrent calls from running in parallel.",    private synchronized void inferCaller() {,0
Anonymous inner classes containing only one method should become lambdas,Make this anonymous inner class a lambda (sonar.java.source not set. Assuming 8 or greater.),"if `srcLogFile` is deleted, or the job that generates `srcLogFile` has finished, is there a way to remove the Runnable from schedule, or is it scheduled forever?
",      this.logCopyExecutor.scheduleAtFixedRate(new Runnable() {,0
Sections of code should not be commented out,This block of commented-out lines of code should be removed.,Are these codes useful or not?,//  },1
Utility classes should not have public constructors,Add a private constructor to hide the implicit public one.,"two things:
first, surprised there's no interface declaration, as is typical so different implementions of the factory could be used interchangeably.
second, not a big deal, but the method name and return type names usually match, whereas the specific instance type (created) might match the class name (granted, more considerations when a common interface is being implemented).","public class GobblinHelixManagerFactory {
MethodDeclaration   public static HelixManager getZKHelixManager(String clusterName, String instanceName,
BlockStmt       InstanceType type, String zkAddr) {
ReturnStmt     return new GobblinZkHelixManager(clusterName, instanceName, type, zkAddr);",0
"Track uses of ""TODO"" tags",Complete the task associated to this TODO comment.,We use the one from the new snapshot so that the timestamps all match. Do you think we should change that?,        //TODO: should this be System.currentTimeMillis(),0
"Public constants and fields initialized at declaration should be ""static final"" rather than merely ""final""",Make this final field static too.,"Change it to `r2.response`, as we can't assume the parent namespace?","  private final String R2_RESPONSE_EVENT_NAMESPACE = ""gobblin.http.r2.response"";",0
